"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"New Caledonia","97.8","70",NA,NA,NA,"1.65510642970682",NA,NA,"13.0548203618819","15.6470003128052","31.069"
"Niger",NA,"1.24867568902241","429.790957778857","75","0.4","3.84268093441677","53.5","69.7914399999999","57.1481530503223","0.238000005483627","83.781"
"Nigeria",NA,"21","3221.67811590831","43","2.9","2.65955070115917","71","90.0574199999999","2.10433253043673","4.08799982070923","53.018"
"Nicaragua",NA,"17.6","1975.46470748978","98","0.2","1.14134116727036","16.4",NA,"0.385908705339625","5.61399984359741","42.3"
"Netherlands",NA,"91.666666","52157.4068701887","96","0.2","0.359828172726548","3.5","102.42479","19.9018385836006","7.75699996948242","10.31"
"Norway",NA,"96.3","97199.9190963458","93","0.1","1.12773667734928","2.3","99.83147","20.7379774262997","3.22699999809265","19.308"
"Nepal",NA,"15.44","706.238697681072","92","0.2","1.20029747230758","31.2","134.75446","0.173122492958926","2.5460000038147","81.818"
"Nauru",NA,NA,"9872.63831364996","95",NA,"9.10923095078517","29.4","105.76408",NA,NA,"0"
"New Zealand",NA,"85.5","44560.6403694048","93","0.1","1.51033948544577","4.7","97.61998","9.11055074796012","6.07999992370605","13.719"
"OECD members",NA,"73.8900054091998","38776.5708497416","94.336519130082",NA,"0.665046907362509","6.30920882607956","102.12848","16.7427596312358","7.45810323293013","20.1804658089652"
"Oman","91.9812","70.22","20469.1386524373","99",NA,"6.50465955097181","9.6","110.41774","4.32785647422481","12.003999710083","19.855"
"Other small states","82.67978","39.7137343536176","15573.5914168044","86.0323452927187","7.98967282583933","2.20558468933363","41.3604903816837","104.80774","4.58274538793713","14.0018812816532","40.543418763399"
"Pakistan","56.97715","12","1316.98096583434","69","0.1","2.08779242867002","66.4","93.24638","1.41368704031748","2.02900004386902","64.181"
"Panama",NA,"44.92","12787.3061955961","80","0.9","1.69263169424324","15.3","98.99804","5.45347943339558","6.09299993515015","33.629"
"Peru","93.70795","40.2","6492.05320821897","88","0.4","1.32482977815291","13.1","101.42063","3.83817562499456","3.06900000572205","22.827"
"Philippines",NA,"49.6","2842.93835295221","67","0.1","1.63281924948264","23.3","113.89061","48.9966443324474","3.72099995613098","53.907"
"Palau",NA,NA,"11646.6815208116","95",NA,"0.828300065770022","14.5","114.85634","20.1803022764151",NA,"22.483"
"Papua New Guinea",NA,"6.5","2973.27054935779","73","0.9","2.12300259824567","45.7",NA,NA,"1.692999958992","87.012"
